item_sku,fulfillment_loc,item_class,hstk_std_cost,P_f,sigma_demand_qty,F,H,L_t,sigma_LT,D,avg_margin_loss_intensity,avg_unit_margin_impact,S_score,item_specific_z,safety_stock_qty,Reorder_Point,total_safety_stock_value
SKU-0921,HREP,RRR,5102.01,1,0.0,0.001,#####,7,1.75,0.007,-505.04,505.04,0.2009582791,1.96,1,1.052238806,5102.01
SKU-0927,HREP,"Manifolds, Hoses, Accessories",124.21,1,6.08276253,0.004,0.8112781216,7,1.75,0.1119402985,-8.693333333,3.546666667,0.2801119209,2.33,38,38.78358209,4719.98
SKU-0194,HREP,Diagnostic Tools : Smoke Diagnostics,164.37,1,2.178240424,0.7573891626,0,7,1.75,4.59,178.87,-178.87,0.3336429529,2.33,24,56.12686567,3944.88
SKU-0856,HREP,RRR : RRR Service Part,118.29,1,5.263078947,0.0381773399,1.220137176,7,1.75,0.4850746269,-505.1941935,505.1941935,0.3390215,2.33,33,36.4,3903.57
SKU-0838,CREP,RRR : RRR Equipment,3878.05,1,0.0,0.001,1.198117417,14,3.5,0.007,-4519.09,4519.09,0.4711560811,2.33,1,1.104477612,3878.05
SKU-0836,HSTK,RRR,4556.97,1,0.0,0.001,0.9182958312,7,1.75,0.007,-1072.6,1072.6,0.3050330586,2.33,1,1.052238806,4556.97
SKU-0836,HREP,RRR,3715.18,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-1466.475,1466.475,0.3214269774,2.33,1,1.104477612,3715.18
SKU-0938,HSTK,RRR : RRR Equipment,4030.06,1,0.0,0.006,1.558970208,7,1.75,0.037,-1790.658,1790.658,0.3917549531,2.33,1,1.26119403,4030.06
SKU-0938,CSTK,RRR : RRR Equipment,3837.51,1,0.0,0.004,1.558970208,7,1.75,0.0223880597,-4910.863333,4910.863333,0.5194251461,2.33,1,1.156716418,3837.51
SKU-0938,CREP,RRR : RRR Equipment,3851.22,1,0.0,0.002,1.558970208,14,3.5,0.01492537313,-6624.03,6624.03,0.589544948,2.33,1,1.208955224,3851.22
SKU-0286,HREP,Diagnostic Tools : Injection/Kits/UV Lights,46.7,1,13.43502884,0.002,1.378783489,7,1.75,0.1567164179,-31.305,31.305,0.3644880872,2.33,83,84.09701493,3876.1
SKU-0841,HSTK,RRR,3761.33,1,0.0,0.001,1,7,1.75,0.007,-2113.07,2113.07,0.3549405671,2.33,1,1.052238806,3761.33
SKU-0841,HREP,RRR,4062.97,1,0.0,0.001,1,7,1.75,0.007,-2491.68,2491.68,0.3704860403,2.33,1,1.052238806,4062.97
SKU-0933,HSTK,RRR : RRR Equipment,3754.6,1,0.0,0.007,1.610498211,7,1.75,0.045,-846.7733333,846.7733333,0.3577536375,2.33,1,1.313432836,3754.6
SKU-0933,CREP,RRR : RRR Equipment,3772.51,1,0.0,0.001,1.610498211,14,3.5,0.007,-2909.53,2909.53,0.4413406713,2.33,1,1.104477612,3772.51
SKU-0716,HREP,RRR : RRR Equipment,3837.51,1,0.0,0.002,1.521928091,7,1.75,0.01492537313,-281.145,6.525,0.3202143406,2.33,1,1.104477612,3837.51
SKU-0716,CREP,RRR,3665.34,1,0.0,0.001,1.521928091,14,3.5,0.01492537313,-2052.01,2052.01,0.3983410542,2.33,1,1.208955224,3665.34
SKU-0716,CSTK,RRR : RRR Equipment,4123.16,1,0.0,0.002,1.521928091,7,1.75,0.01492537313,-2719.38,2719.38,0.4259644946,2.33,1,1.104477612,4123.16
SKU-0045,HREP,Diagnostic Tools : Smoke Diagnostics,519.14,1,1.027063257,0.1798029557,0,7,1.75,1.089552239,518.6,-518.6,0.2383582106,1.96,7,14.62686567,3633.98
SKU-0948,HREP,RRR : RRR Equipment,3636.43,1,0.0,0.001,#####,7,1.75,0.007,-1325.39,1325.39,0.2346413011,1.96,1,1.052238806,3636.43
SKU-0869,HREP,RRR : RRR Service Part,88.57,1,5.912053869,0.018,0.64,7,1.75,0.2985074627,-172.87,172.87,0.2737903577,2.33,37,39.08955224,3277.09
SKU-0715,HREP,RRR : RRR Equipment,2987.04,1,0.0,0.001,#####,7,1.75,0.007,-187.57,187.57,0.1879231734,1.96,1,1.052238806,2987.04
SKU-0926,CREP,RRR : RRR Equipment,3748.9,1,0.0,0.002,1.685815703,14,3.5,0.01492537313,-4469.4,4469.4,0.5122343143,2.33,1,1.208955224,3748.9
SKU-0926,CSTK,RRR : RRR Equipment,3796.45,1,0.0,0.002,1.685815703,7,1.75,0.01492537313,-6819.4,6819.4,0.6087237415,2.33,1,1.104477612,3796.45
SKU-0924,CSTK,RRR : RRR Equipment,3069.17,1,0.0,0.001,1.29546184,7,1.75,0.007,-4797.53,4797.53,0.4911508281,2.33,1,1.052238806,3069.17
SKU-0837,HREP,RRR,3073.86,1,0.0,0.005,1.251629163,7,1.75,0.02985074627,-184.325,175.03,0.2983545003,2.33,1,1.208955224,3073.86
SKU-0837,HSTK,RRR,3071.92,1,0.0,0.001,1.251629163,7,1.75,0.007,-548.96,548.96,0.312851968,2.33,1,1.052238806,3071.92
SKU-0837,CREP,RRR : RRR Equipment,3385.91,1,0.0,0.001,1.251629163,14,3.5,0.007,-991.41,991.41,0.3310186689,2.33,1,1.104477612,3385.91
SKU-0951,CREP,Instruments : Measurement & Test,133.51,1,2.386303511,0.01231527094,1.291691991,14,3.5,0.1492537313,-143.822,143.822,0.3126569917,2.33,21,23.08955224,2803.71
SKU-0808,CSTK,RRR,3508.49,1,0.0,0.005,0.8904916373,7,1.75,0.02985074627,-2524.2625,2524.2625,0.3628567823,2.33,1,1.208955224,3508.49
SKU-0935,HSTK,RRR : RRR Equipment,2647.97,1,0.0,0.01477832512,1.344730038,7,1.75,0.09,-685.7533333,685.7533333,0.3290959688,2.33,1,1.626865672,2647.97
SKU-0935,CREP,RRR : RRR Equipment,3482.0,1,0.0,0.001,1.344730038,14,3.5,0.007,-2311.17,2311.17,0.3933960656,2.33,1,1.104477612,3482.0
SKU-0351,HREP,Diagnostic Tools : Injection/Kits/UV Lights,10.73,1,39.33174632,0.02463054187,0.2761954248,7,1.75,2.23880597,-13.258,13.258,0.3892714,2.33,243,258.6716418,2607.39
SKU-0946,HREP,RRR : RRR Equipment,2821.45,1,0.0,0.001,1,7,1.75,0.007,-2015.14,2015.14,0.3509196268,2.33,1,1.052238806,2821.45
SKU-0946,CREP,RRR : RRR Equipment,2761.62,1,0.0,0.001,1,14,3.5,0.007,-5415.14,5415.14,0.4905213513,2.33,1,1.104477612,2761.62
SKU-0842,HREP,RRR : RRR Accessory,26.78,1,16.59604084,0.01,0.9219280906,7,1.75,0.5074626866,-61.57625,61.57625,0.3413434,2.33,103,106.5522388,2758.34
SKU-0416,HSTK,Service Equipment : PM Equipment,3270.29,1,0.0,0.001,1,7,1.75,0.007,-16.52,-16.52,0.2688576,2.33,1,1.052238806,3270.29
SKU-0379,HSTK,RRR,11.21,1,39.33174632,0.002,0,7,1.75,2.246268657,11.35,-11.35,0.3609093732,2.33,243,258.7238806,2724.03
SKU-0714,HSTK,RRR : RRR Equipment,2320.53,1,0.0,0.002,1,7,1.75,0.01492537313,-840.66,840.66,0.3029179389,2.33,1,1.104477612,2320.53
SKU-0929,CREP,"Manifolds, Hoses, Accessories",131.59,1,2.5,0.005,1.459147913,14,3.5,0.067,-67.955,67.955,0.3234612509,2.33,22,22.94029851,2894.98
SKU-0415,HSTK,Service Equipment : PM Equipment,2332.05,1,0.0,0.001,1.819240697,7,1.75,0.007,-725.83,725.83,0.3700399099,2.33,1,1.052238806,2332.05
SKU-0415,CSTK,Service Equipment : PM Equipment : PM With setup,2203.08,1,0.0,0.005,1.819240697,7,1.75,0.02985074627,-4282.04,4282.04,0.5167205371,2.33,1,1.208955224,2203.08
SKU-0880,HREP,RRR : RRR Accessory,28.54,1,11.5,0.005,1.251629163,7,1.75,0.2014925373,-39.9775,39.9775,0.3452477539,2.33,71,72.41044776,2026.34
SKU-0752,HREP,RRR : RRR Accessory,127.3,1,3.361547263,0.006,#####,7,1.75,0.1268656716,-8.162,-3.73,0.1967364856,1.96,18,18.8880597,2291.4
SKU-0411,CREP,Service Equipment : PM Equipment,2560.58,1,0.0,0.001,#####,14,3.5,0.007,-335.41,335.41,0.1939933849,1.96,1,1.104477612,2560.58
SKU-0410,CREP,Service Equipment : PM Equipment,1917.16,1,0.0,0.001,1.499999996,14,3.5,0.007,-368.41,368.41,0.3272848212,2.33,1,1.104477612,1917.16
SKU-0410,HREP,Service Equipment : PM Equipment : PM With setup,2393.52,1,0.0,0.002,1.499999996,7,1.75,0.01492537313,-1374.63,1374.63,0.3688212159,2.33,1,1.104477612,2393.52
SKU-0359,HREP,Diagnostic Tools : Injection/Kits/UV Lights,64.18,1,5.188127472,0.007,1.06127812,7,1.75,0.1417910448,-40.98833333,40.98833333,0.3001037711,2.33,32,32.99253731,2053.76
SKU-0412,HREP,Service Equipment : PM Equipment : PM With setup,1898.55,1,0.0,0.004,0.8112781216,7,1.75,0.0223880597,-1275.713333,1275.713333,0.3044030794,2.33,1,1.156716418,1898.55
SKU-0861,CREP,RRR,358.72,1,0.7071067812,0.01354679803,0.5171354863,14,3.5,0.09,-720.8818182,720.8818182,0.260759415,1.96,6,7.253731343,2152.32
SKU-1034,HREP,Instruments : Measurement & Test,67.02,1,5.046450898,0.007,1.224394441,7,1.75,0.1940298507,-77.825,77.825,0.315315212,2.33,32,33.35820896,2144.64
SKU-0418,HSTK,Service Equipment : PM Equipment,1943.28,1,0.0,0.001,1.448815631,7,1.75,0.007,-443.87,443.87,0.3258811018,2.33,1,1.052238806,1943.28
SKU-0418,HREP,Service Equipment : PM Equipment : PM With setup,1738.91,1,0.0,0.004,1.448815631,7,1.75,0.0223880597,-980.5933333,980.5933333,0.3483619524,2.33,1,1.156716418,1738.91
SKU-0418,CSTK,Service Equipment : PM Equipment : PM With setup,1626.66,1,0.0,0.004,1.448815631,7,1.75,0.0223880597,-2837.65,2837.65,0.4246114563,2.33,1,1.156716418,1626.66
SKU-0818,HREP,RRR : RRR Service Part,339.78,1,0.8033094811,0.07,0.6079696091,7,1.75,0.4701492537,-667.6210526,667.6210526,0.2771994315,2.33,6,9.291044776,2038.68
SKU-0422,HREP,Service Equipment : PM Equipment,1949.1,1,0.0,0.001,1,7,1.75,0.01492537313,-49.16,-49.16,0.2701978038,2.33,1,1.104477612,1949.1
SKU-1063,HREP,Diagnostic Tools : Smoke Diagnostics,1820.61,1,0.0,0.002,#####,7,1.75,0.01492537313,-1290.45,1290.45,0.2334284,1.96,1,1.104477612,1820.61
SKU-0232,HREP,Diagnostic Tools : Smoke Diagnostics,1637.85,1,0.0,0.001,0.9182958312,7,1.75,0.007,-981.19,981.19,0.3012798252,2.33,1,1.052238806,1637.85
SKU-0232,HSTK,Diagnostic Tools : Smoke Diagnostics,1932.61,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-1127.19,1127.19,0.3074961623,2.33,1,1.104477612,1932.61
SKU-0888,HREP,Service Equipment : PM Equipment,1541.74,1,0.0,0.004,#####,7,1.75,0.1044776119,-88.67,88.67,0.1843057554,1.96,1,1.731343284,1541.74
SKU-0421,HREP,Service Equipment : PM Equipment : PM With setup,1823.57,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-688.085,688.085,0.2894668049,2.33,1,1.104477612,1823.57
SKU-0421,CREP,Service Equipment : PM Equipment : PM With setup,1847.55,1,0.0,0.001,0.9182958312,14,3.5,0.007,-951.29,951.29,0.3000521512,2.33,1,1.104477612,1847.55
SKU-0779,HSTK,Tools : Tubing Tools,130.37,1,2.121320344,0.002,0,7,1.75,0.037,142.17,-142.17,0.1959888837,1.96,12,12.26119403,1564.44
SKU-0477,HSTK,RRR,22.19,1,13.43502884,0.002,0,7,1.75,0.1567164179,22.3,-22.3,0.242843789,1.96,70,71.09701493,1553.3
SKU-0795,HREP,Diagnostic Tools : Smoke Diagnostics,1499.46,1,0.0,0.002,1.499999996,7,1.75,0.01492537313,-662.07,662.07,0.3395639791,2.33,1,1.104477612,1499.46
SKU-0795,CREP,Diagnostic Tools : Smoke Diagnostics,1531.24,1,0.0,0.001,1.499999996,14,3.5,0.007,-1249.57,1249.57,0.3634646611,2.33,1,1.104477612,1531.24
SKU-0873,HREP,RRR : RRR Service Part,834.62,1,0.2823298513,0.031,0.2351933789,7,1.75,0.1940298507,-937.88,937.88,0.2460297246,1.96,2,3.358208955,1669.24
SKU-0236,HSTK,RRR,6.59,1,36.74234614,0.006,0,7,1.75,2.23880597,6.5,-6.5,0.3495249845,2.33,227,242.6716418,1495.93
SKU-0387,CREP,Diagnostic Tools : Injection/Kits/UV Lights,28.52,1,4.827007354,0.007,1.46275522,14,3.5,0.2014925373,-58.32,58.32,0.3344757307,2.33,43,45.82089552,1226.36
SKU-0070,HSTK,Service Equipment : PM Equipment,39.48,1,6.363961031,0.002,0,7,1.75,0.082,41.41,-41.41,0.2112680032,1.96,34,34.57462687,1342.32
SKU-0826,HREP,RRR : RRR Service Part,26.01,1,8.660254038,0.006,1.548794935,7,1.75,0.223880597,-48.566,48.566,0.3589640986,2.33,54,55.56716418,1404.54
SKU-0861,HREP,RRR : RRR Service Part,321.13,1,0.584,0.1034482759,0.5171354863,7,1.75,0.6343283582,-415.3075,415.3075,0.2638327479,1.96,4,8.440298507,1284.52
SKU-0768,HREP,Tools : Soldering Brazing,78.75,1,2.828427125,0.002,0.9709505916,7,1.75,0.045,-25.015,25.015,0.2798171554,2.33,18,18.31343284,1417.5
SKU-0423,CREP,Service Equipment : PM Equipment : PM With setup,1142.18,1,0.0,0.002,1,14,3.5,0.01492537313,-1103.65,1103.65,0.3137161323,2.33,1,1.208955224,1142.18
SKU-0423,CSTK,Service Equipment : PM Equipment : PM With setup,1124.46,1,0.0,0.002,1,7,1.75,0.01492537313,-1842.07,1842.07,0.3440351633,2.33,1,1.104477612,1124.46
SKU-0614,HREP,Service Equipment : PM Equipment,10.08,1,18.47520861,0.01,#####,7,1.75,0.3955223881,-7.69875,7.69875,0.2666404807,2.33,114,116.7686567,1149.12
SKU-0231,HREP,Service Equipment : PM Equipment,1298.7,1,0.0,0.001,#####,7,1.75,0.007,-357.98,-357.98,0.194920094,1.96,1,1.052238806,1298.7
SKU-0756,HREP,RRR : RRR Replacement Part,13.34,1,17.67766953,0.002,#####,7,1.75,0.2313432836,-12.275,12.275,0.2618484268,1.96,92,93.61940299,1227.28
SKU-0798,HREP,Diagnostic Tools : Smoke Diagnostics,1146.42,1,0.0,0.004,#####,7,1.75,0.0223880597,-157.26,-157.26,0.1871220149,1.96,1,1.156716418,1146.42
SKU-0788,CREP,Instruments : Scales,22.08,1,6.363961031,0.002,#####,14,3.5,0.082,-28.9,28.9,0.2107543509,1.96,47,48.14925373,1037.76
SKU-0934,HREP,RRR : RRR Service Part,303.83,1,0.624880941,0.032,#####,7,1.75,0.1940298507,-589.8907692,589.8907692,0.2128438069,1.96,4,5.358208955,1215.32
SKU-1038,HREP,Service Equipment : Vacuum Pumps,230.79,1,0.7988086367,0.0197044335,1,7,1.75,0.1417910448,178.48375,-178.48375,0.2824886,2.33,5,5.992537313,1153.95
SKU-0408,HREP,Diagnostic Tools : Smoke Diagnostics,985.64,1,0.0,0.002,#####,7,1.75,0.01492537313,-882.69,882.69,0.216686,1.96,1,1.104477612,985.64
SKU-0878,HREP,RRR : RRR Service Part,216.94,1,0.7071067812,0.004,0.8112781216,7,1.75,0.0223880597,-663.16,663.16,0.2824880924,2.33,5,5.156716418,1084.7
SKU-0405,HREP,Diagnostic Tools : Smoke Diagnostics,1130.47,1,0.0,0.001,1.584962496,7,1.75,0.007,-795.22,795.22,0.3522824563,2.33,1,1.052238806,1130.47
SKU-0405,CREP,Diagnostic Tools : Smoke Diagnostics,949.38,1,0.0,0.001,1.584962496,14,3.5,0.007,-1713.55,1713.55,0.3899884715,2.33,1,1.104477612,949.38
SKU-0405,CSTK,Diagnostic Tools : Smoke Diagnostics,954.01,1,0.0,0.001,1.584962496,7,1.75,0.007,-2242.09,2242.09,0.4116899701,2.33,1,1.052238806,954.01
SKU-0420,CREP,Service Equipment : PM Equipment : PM With setup,1019.33,1,0.0,0.001,#####,14,3.5,0.007,-409.91,409.91,0.197052305,1.96,1,1.104477612,1019.33
SKU-1025,CREP,Service Equipment : Recovery Machines,972.91,1,0.0,0.001,#####,14,3.5,0.02985074627,-577.49,577.49,0.2039330277,1.96,1,1.417910448,972.91
SKU-0753,CREP,RRR : RRR Accessory,152.09,1,0.7071067812,0.002,1.499999996,14,3.5,0.0223880597,-93.84,93.84,0.3194688786,2.33,7,7.313432836,1064.63
SKU-0202,HREP,Service Equipment : PM Equipment,998.08,1,0.0,0.001,1,7,1.75,0.007,-51.95,-51.95,0.2703123593,2.33,1,1.052238806,998.08
SKU-0419,CREP,Service Equipment : PM Equipment,898.56,1,0.0,0.001,#####,14,3.5,0.007,-124.04,-124.04,0.1853146741,1.96,1,1.104477612,898.56
SKU-0394,HREP,Diagnostic Tools : Injection/Kits/UV Lights,22.54,1,6.350852961,0.004,1.405639058,7,1.75,0.1044776119,-28.27333333,28.27333333,0.3345270186,2.33,40,40.73134328,901.6
SKU-0918,HREP,"Manifolds, Hoses, Accessories",136.69,1,1.0,0.005,1.360964043,7,1.75,0.045,-25.5975,18.7125,0.3060800271,2.33,7,7.313432836,956.83
SKU-0697,HREP,Diagnostic Tools,26.34,1,5.466149273,0.016,#####,7,1.75,0.2388059701,-3.853846154,-3.392307692,0.2080461251,1.96,29,30.67164179,763.86
SKU-0915,HREP,"Manifolds, Hoses, Accessories : Manifolds",103.68,1,1.414213562,0.002,#####,7,1.75,0.06,-56.83,-56.83,0.1892488373,1.96,8,8.417910448,829.44
SKU-0409,CREP,Service Equipment : PM Equipment,736.15,1,0.0,0.004,0.9709505916,14,3.5,0.0223880597,-381.3666667,330.9533333,0.2806912505,2.33,1,1.313432836,736.15
SKU-0409,HREP,Service Equipment : PM Equipment,944.07,1,0.0,0.002,0.9709505916,7,1.75,0.01492537313,-488.22,488.22,0.2858918709,2.33,1,1.104477612,944.07
SKU-0458,HREP,Diagnostic Tools : Combustion Leak Tester,27.01,1,4.396320658,0.039,0.8596409945,7,1.75,0.5223880597,-8.2646875,8.1115625,0.2831613661,2.33,28,31.65671642,756.28
SKU-0461,HREP,Service Equipment : PM Equipment,726.45,1,0.0,0.005,#####,7,1.75,0.02985074627,-125.2925,125.2925,0.1860311256,1.96,1,1.208955224,726.45
SKU-0912,CSTK,Instruments : Electronic Leak Detectors,72.96,1,2.309401077,0.007,0,7,1.75,0.052,67.18,-67.18,0.1946572871,1.96,12,12.36567164,875.52
SKU-0710,HREP,RRR,705.02,1,0.0,0.004,#####,7,1.75,0.0223880597,-170.1566667,170.1566667,0.1876515434,1.96,1,1.156716418,705.02
SKU-1028,HREP,Service Equipment : Recovery Machines,811.8,1,0.0,0.001,#####,7,1.75,0.007,-823.37,823.37,0.2140286959,1.96,1,1.052238806,811.8
SKU-0286,CREP,Diagnostic Tools : Injection/Kits/UV Lights,46.29,1,1.732050808,0.005,1.378783489,14,3.5,0.067,-38.5,38.5,0.3116686967,2.33,16,16.94029851,740.64
SKU-0725,HREP,RRR : RRR Service Part,59.79,1,2.642970699,0.02093596059,0.3095434263,7,1.75,0.2388059701,-47.19647059,47.19647059,0.2250284802,1.96,14,15.67164179,837.06
SKU-0330,HSTK,"Manifolds, Hoses, Accessories : Couplers",2.84,1,39.33174632,0.002,0,7,1.75,0.5074626866,3.14,-3.14,0.3605722761,2.33,243,246.5522388,690.12
SKU-0873,CREP,RRR : RRR Service Part,652.08,1,0.0,0.001,0.2351933789,14,3.5,0.007,-1877.77,1877.77,0.2780087118,2.33,1,1.104477612,652.08
SKU-0346,HSTK,RRR,671.85,1,0.0,0.006,0,7,1.75,0.037,731.45,-731.45,0.2111412218,1.96,1,1.26119403,671.85
SKU-0829,HREP,RRR : RRR Service Part,117.78,1,1.060660172,0.01,0.9219280906,7,1.75,0.082,-110.3775,110.3775,0.2722501203,2.33,7,7.574626866,824.46
SKU-0352,HREP,Diagnostic Tools : Injection/Kits/UV Lights,28.6,1,4.38178046,0.007,1.521928091,7,1.75,0.1417910448,-54.785,54.785,0.3374977315,2.33,28,28.99253731,800.8
SKU-0194,CREP,Diagnostic Tools : Smoke Diagnostics,167.38,1,0.5,0.006,0,14,3.5,0.037,178.87,-178.87,0.1907408848,1.96,4,4.52238806,669.52
SKU-1030,CSTK,Service Equipment : Recovery Machines,650.06,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-1176.03,1176.03,0.3095015,2.33,1,1.104477612,650.06
SKU-0347,HREP,RRR,634.81,1,0.0,0.001,0,7,1.75,0.007,707.66,-707.66,0.2092777209,1.96,1,1.052238806,634.81
SKU-0937,HREP,RRR : RRR Service Part,309.11,1,0.3321055821,0.02339901478,#####,7,1.75,0.1417910448,-527.49,527.49,0.2073900754,1.96,2,2.992537313,618.22
SKU-0923,HSTK,Service Equipment : PM Equipment,2.48,1,39.33174632,0.0381773399,0,7,1.75,9.313432836,2.72,-2.72,0.3669836026,2.33,246,311.1940299,610.08
SKU-0923,CSTK,Service Equipment : PM Equipment,3.04,1,39.33174632,0.007,0,7,1.75,2.947761194,2.72,-2.72,0.3614417306,2.33,243,263.6343284,738.72
SKU-0863,HREP,RRR : RRR Service Part,135.85,1,0.6454972244,0.043,0.3574288858,7,1.75,0.2611940299,-496.2,496.2,0.2425249559,1.96,4,5.828358209,543.4
SKU-0388,CREP,Diagnostic Tools : Injection/Kits/UV Lights,37.1,1,2.121320344,0.004,1.37095059,14,3.5,0.037,-85.7,85.7,0.3144775337,2.33,19,19.52238806,704.9
SKU-0354,HREP,Diagnostic Tools : Injection/Kits/UV Lights,20.97,1,4.201731245,0.01354679803,0.8960382296,7,1.75,0.1940298507,-26.17363636,26.17363636,0.2815555523,2.33,26,27.35820896,545.22
