txn_date,txn_type,doc_num,created_by,customer_name,customer_category,ship_state,ship_zip,ship_method,ship_tier,fulfillment_loc,fulfillment_country,item_category,item_class,item_type,item_sku,item_rate,item_qty,memo_note,txn_amount,hstk_std_cost
2024-02-26,Credit Memo,DOC-000045,USER-11,CUSTOMER-045,10: Auto-Wholesale,FL,,,,HREP,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0821,778.86,-2.0,,-1559.78,380.3
2022-04-11,Credit Memo,DOC-000046,USER-11,CUSTOMER-305,12: Auto-Open,FL,,,,HREP,,Automotive Parts,RRR,Inventory Item,SKU-0235,6.71,-139.0,,-770.31,10.77
2024-03-15,Credit Memo,DOC-000047,USER-11,CUSTOMER-069,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,RRR : RRR Replacement Part,Assembly/Bill of Materials,SKU-0757,46.27,-388.0,,-18083.09,18.11
2024-07-15,Credit Memo,DOC-000048,USER-11,CUSTOMER-222,10: Auto-Wholesale,VA,,,,HREP,,HVAC Diagnostic Tools,Instruments : Electronic Leak Detectors,Assembly/Bill of Materials,SKU-0909,156.27,-6.0,,-1103.42,172.42
2025-03-10,Credit Memo,DOC-000049,USER-14,CUSTOMER-333,20: TerraClean,,,Carrier TBD,,CSTK,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0716,6908.6,-1.0,,-6467.04,3852.21
2025-03-10,Credit Memo,DOC-000050,USER-14,CUSTOMER-333,20: TerraClean,ON,,Peace of Mind Courier,Domestic Standard Ground,CSTK,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0716,5842.11,-1.0,,-7397.21,3343.5
2024-03-15,Credit Memo,DOC-000051,USER-11,CUSTOMER-069,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0809,337.23,-7.0,,-2367.91,244.41
2022-05-09,Credit Memo,DOC-000052,USER-11,CUSTOMER-224,13: Auto-OEM,,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0231,689.48,-1.0,,-861.29,1163.9
2023-05-05,Credit Memo,DOC-000053,USER-11,CUSTOMER-306,10: Auto-Wholesale,CA,,LTL,Freight LTL,HFLD,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0938,7499.93,-7.0,,-55270.38,3645.28
2024-08-14,Credit Memo,DOC-000054,USER-14,CUSTOMER-244,10: Auto-Wholesale,ON,,,,CREP,Canada,Automotive Service Tool Parts,Service Equipment : Recovery Machines,Assembly/Bill of Materials,SKU-1027,225.63,-4.0,,-872.8,255.24
2025-05-01,Credit Memo,DOC-000055,USER-02,CUSTOMER-209,11: Auto-Mobile,OH,,,,HFLD,,Automotive Diagnostic Tools,"Manifolds, Hoses, Accessories : Manifolds",Assembly/Bill of Materials,SKU-0931,160.17,-6.0,,-957.47,182.89
2024-02-06,Credit Memo,DOC-000056,USER-11,CUSTOMER-191,13: Auto-OEM,MI,,,,HREP,,Automotive Service Equipment,Service Equipment : Airlift,Assembly/Bill of Materials,SKU-0906,27.26,-122.0,,-2968.84,22.59
2023-12-01,Credit Memo,DOC-000057,USER-14,CUSTOMER-147,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0808,5064.75,-3.0,,-16543.81,3035.34
2022-03-04,Credit Memo,DOC-000058,USER-11,CUSTOMER-212,10: Auto-Wholesale,TN,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0422,1881.39,-1.0,,-2069.49,1796.93
2022-04-06,Credit Memo,DOC-000059,USER-14,CUSTOMER-235,10: Auto-Wholesale,ON,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0419,766.66,-1.0,,-911.9,1101.81
2022-08-05,Credit Memo,DOC-000060,USER-11,CUSTOMER-173,10: Auto-Wholesale,NJ,,,,HREP,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0933,3805.71,-8.0,,-38929.09,4154.5
2022-05-03,Credit Memo,DOC-000061,USER-11,CUSTOMER-263,10: Auto-Wholesale,Kentucky,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-1063,3313.73,-1.0,,-3238.26,1985.88
2022-08-10,Credit Memo,DOC-000062,USER-11,CUSTOMER-263,10: Auto-Wholesale,,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-1063,3127.02,-1.0,,-3227.37,1833.72
2022-08-10,Credit Memo,DOC-000063,USER-11,CUSTOMER-263,10: Auto-Wholesale,,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-1063,3216.1,-1.0,,-2969.49,2132.97
2024-04-22,Credit Memo,DOC-000064,USER-11,CUSTOMER-270,10: Auto-Wholesale,CA,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0714,4133.22,-1.0,,-4069.62,2784.63
2022-12-08,Credit Memo,DOC-000065,USER-14,CUSTOMER-344,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Service Tool Parts,Service Equipment : Recovery Machines,Assembly/Bill of Materials,SKU-0790,827.18,-2.0,,-1772.3,
2022-07-06,Credit Memo,DOC-000066,USER-11,CUSTOMER-323,10: Auto-Wholesale,TN,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0716,4184.49,-1.0,,-4299.06,4359.88
2022-08-23,Credit Memo,DOC-000067,USER-11,CUSTOMER-114,13: Auto-OEM,TX,,,,HSTK,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0232,2970.85,-1.0,,-2685.22,2004.53
2022-09-02,Credit Memo,DOC-000068,USER-11,CUSTOMER-114,13: Auto-OEM,TX,,,,HSTK,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0232,2747.32,-1.0,,-2957.63,1920.8
2023-07-11,Credit Memo,DOC-000069,USER-11,CUSTOMER-225,10: Auto-Wholesale,IN,,,,HSTK,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0714,3107.13,-1.0,,-3893.77,2829.36
2022-07-19,Credit Memo,DOC-000070,USER-11,CUSTOMER-308,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0200,1126.75,-1.0,,-1299.94,368.81
2022-01-04,Credit Memo,DOC-000071,USER-11,CUSTOMER-115,13: Auto-OEM,MI,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0232,2535.56,-1.0,,-2487.32,1795.76
2023-10-26,Credit Memo,DOC-000072,USER-11,CUSTOMER-227,10: Auto-Wholesale,,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0410,3720.77,-1.0,,-3398.22,2034.59
2025-04-30,Credit Memo,DOC-000073,USER-02,CUSTOMER-227,10: Auto-Wholesale,MD,,,,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0410,4231.36,-1.0,,-3725.83,2306.23
2023-12-11,Credit Memo,DOC-000074,USER-14,CUSTOMER-331,20: TerraClean,QC,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0421,2484.49,-1.0,,-2396.75,1680.47
2022-08-17,Credit Memo,DOC-000075,USER-11,CUSTOMER-184,10: Auto-Wholesale,NY,,,,HSTK,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0714,2866.43,-1.0,,-3780.52,2499.65
2022-04-05,Credit Memo,DOC-000076,USER-11,CUSTOMER-228,10: Auto-Wholesale,,,,,HREP,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0716,3322.78,-1.0,,-3475.25,4345.72
2023-11-14,Credit Memo,DOC-000077,USER-11,CUSTOMER-081,00: Internal Sales Reps,NC,,UPS Ground,Domestic Standard Ground,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0408,1781.41,-1.0,,-1918.15,914.1
2024-02-21,Credit Memo,DOC-000078,USER-11,CUSTOMER-081,00: Internal Sales Reps,NV,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0408,1991.24,-1.0,,-1743.52,1116.92
2023-10-30,Credit Memo,DOC-000079,USER-11,CUSTOMER-227,10: Auto-Wholesale,,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0421,2553.6,-1.0,,-2472.32,1634.07
2025-02-19,Credit Memo,DOC-000080,USER-14,CUSTOMER-147,10: Auto-Wholesale,QC,,,,CSTK,Canada,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0405,3524.39,-1.0,,-3720.03,863.48
2023-02-07,Credit Memo,DOC-000081,USER-11,CUSTOMER-297,10: Auto-Wholesale,LA,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0410,3575.61,-1.0,,-3396.06,1932.97
2024-02-13,Credit Memo,DOC-000082,USER-11,CUSTOMER-013,10: Auto-Wholesale,AL,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0421,2296.59,-1.0,,-2014.76,1711.56
2022-11-30,Credit Memo,DOC-000083,USER-11,CUSTOMER-167,10: Auto-Wholesale,ID,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0412,3716.09,-1.0,,-3133.83,2044.97
2023-12-01,Credit Memo,DOC-000084,USER-14,CUSTOMER-147,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Diagnostic Tools,"Manifolds, Hoses, Accessories",Assembly/Bill of Materials,SKU-0917,198.14,-12.0,,-3020.72,115.0
2024-03-13,Credit Memo,DOC-000085,USER-11,CUSTOMER-174,10: Auto-Wholesale,CA,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0412,2891.38,-1.0,,-3869.69,2178.27
2024-04-12,Credit Memo,DOC-000086,USER-11,CUSTOMER-174,10: Auto-Wholesale,CA,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0412,2959.55,-1.0,,-3081.48,2064.17
2023-05-03,Credit Memo,DOC-000087,USER-11,CUSTOMER-174,10: Auto-Wholesale,NY,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment : PM With setup,Assembly/Bill of Materials,SKU-0412,3494.84,-1.0,,-3389.58,1808.39
2024-08-14,Credit Memo,DOC-000088,USER-11,CUSTOMER-334,10: Auto-Wholesale,NS,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Injection/Kits/UV Lights,Assembly/Bill of Materials,SKU-0270,76.44,-10.0,,-675.06,51.58
2022-12-21,Credit Memo,DOC-000089,USER-14,CUSTOMER-344,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Service Tools,Tools : Tubing Tools,Assembly/Bill of Materials,SKU-1006,5.95,-119.0,,-806.08,3.72
2024-11-12,Credit Memo,DOC-000090,USER-11,CUSTOMER-174,10: Auto-Wholesale,FL,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0460,947.4,-3.0,,-2522.44,652.87
2024-03-15,Credit Memo,DOC-000091,USER-11,CUSTOMER-069,15: Auto-Service Centers,,,,,HREP,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0727,282.03,-4.0,,-1379.88,
2024-09-18,Credit Memo,DOC-000092,USER-14,CUSTOMER-280,05: Auto Sales Reps,ON,,Carrier TBD,,CSTK,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0926,10853.69,-1.0,,-11601.69,3637.03
2024-12-06,Credit Memo,DOC-000093,USER-14,CUSTOMER-280,05: Auto Sales Reps,ON,,Call for Pick UP,,CSTK,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0926,10084.43,-1.0,,-9244.43,3632.32
2022-11-17,Credit Memo,DOC-000094,USER-14,CUSTOMER-147,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0405,2622.18,-1.0,,-2688.82,1114.72
2022-12-08,Credit Memo,DOC-000095,USER-14,CUSTOMER-341,10: Auto-Wholesale,QC,,,,CREP,Canada,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0837,3949.91,-1.0,,-3698.57,3455.41
2025-05-28,Credit Memo,DOC-000096,USER-02,CUSTOMER-155,10: Auto-Wholesale,FL,,,,HFLD,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0925,3718.82,-1.0,,-3406.23,2534.03
2022-02-02,Credit Memo,DOC-000097,USER-11,CUSTOMER-318,10: Auto-Wholesale,OH,,UPS Ground,Domestic Standard Ground,HFLD,,Automotive Service Tool Parts,Service Equipment : Recovery Machines,Assembly/Bill of Materials,SKU-1024,639.47,-1.0,,-580.09,517.76
2022-05-04,Credit Memo,DOC-000098,USER-14,CUSTOMER-235,10: Auto-Wholesale,ON,,,,CREP,Canada,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0410,2287.54,-1.0,,-2426.08,1909.66
2023-05-16,Credit Memo,DOC-000099,USER-11,CUSTOMER-200,13: Auto-OEM,OH,,,,HREP,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0888,1645.26,-1.0,,-2131.49,1847.65
2022-05-16,Credit Memo,DOC-000100,USER-11,CUSTOMER-174,10: Auto-Wholesale,GA,,LTL,Freight LTL,HFLD,,Automotive Machine - Fluid Service,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0460,974.79,-3.0,,-2217.55,704.0
2024-05-10,Credit Memo,DOC-000101,USER-14,CUSTOMER-158,00: Internal Sales Reps,ON,,Call for Pick UP,,CREP,Canada,Automotive Parts,Service Equipment : PM Equipment,Assembly/Bill of Materials,SKU-0222,803.81,-1.0,,-793.15,444.44
2024-08-07,Credit Memo,DOC-000102,USER-11,CUSTOMER-291,10: Auto-Wholesale,VA,,,,HREP,,Automotive Machine - RRR,RRR : RRR Equipment,Assembly/Bill of Materials,SKU-0925,3603.7,-1.0,,-2969.0,2864.49
2022-09-16,Credit Memo,DOC-000103,USER-11,CUSTOMER-053,13: Auto-OEM,MN,,,,HREP,,Automotive Diagnostic Tools,Diagnostic Tools : Smoke Diagnostics,Assembly/Bill of Materials,SKU-0887,1807.14,-1.0,,-1960.57,1442.52
2024-11-05,Credit Memo,DOC-000104,USER-11,CUSTOMER-174,10: Auto-Wholesale,GA,,,,HREP,,Automotive Diagnostic Tools,"Manifolds, Hoses, Accessories",Assembly/Bill of Materials,SKU-0914,189.88,-4.0,,-656.24,109.17
2024-07-29,Credit Memo,DOC-000105,USER-11,CUSTOMER-242,10: Auto-Wholesale,IN,,,,HSTK,,Automotive Parts,RRR : RRR Service Part,Assembly/Bill of Materials,SKU-0857,493.05,-4.0,,-2055.63,144.76
2022-11-07,Credit Memo,DOC-000106,USER-11,CUSTOMER-154,10: Auto-Wholesale,VA,,,,HSTK,,Automotive Machine - RRR,RRR,Assembly/Bill of Materials,SKU-0837,4002.04,-1.0,,-3418.3,3021.86
